rating_id,ride_id,user_id,rating_value,comments,rating_date
1,1,4067,3,Million onto whom everything.,2024-07-18 23:43:41
2,2,9160,5,unknown comments,2024-04-15 07:00:17
3,3,1990,4,Tonight another goal lead.,2024-04-21 20:25:52
4,4,1268,3,unknown comments,2024-03-22 21:24:44
5,5,7296,4,unknown comments,2024-01-11 21:13:34
6,6,8671,4,Culture capital information.,2024-06-05 06:04:27
7,7,8360,2,unknown comments,2024-02-28 21:33:34
8,8,5758,2,unknown comments,2024-08-26 21:36:00
9,9,8575,5,unknown comments,2024-05-02 03:04:07
10,10,7106,2,unknown comments,2024-02-08 03:28:37
11,11,6534,3,Expert city town surface.,2024-01-06 22:31:10
12,12,6072,1,unknown comments,2024-09-02 09:00:25
13,13,7389,4,Yes nothing international seem.,2024-08-17 00:07:13
14,14,9802,1,unknown comments,2024-06-02 07:36:05
15,15,6802,5,unknown comments,2024-05-23 22:58:28
16,16,1084,1,unknown comments,2024-04-15 11:56:15
17,17,7802,2,May most ask however phone week.,2024-05-23 01:25:28
18,18,8436,2,unknown comments,2024-07-23 07:31:48
19,19,1451,1,unknown comments,2024-08-02 19:13:58
20,20,764,1,unknown comments,2024-09-28 07:08:21
21,21,1928,5,unknown comments,2024-09-26 03:41:01
22,22,6327,1,Have oil season agree.,2024-07-10 02:14:35
23,23,8281,5,unknown comments,2024-06-29 07:52:05
24,24,6882,3,He many four.,2024-09-07 19:00:03
25,25,2259,2,Since hold card market well draw.,2024-05-30 11:28:44
26,26,3613,3,Door I spend seek his.,2024-09-30 03:32:56
27,27,3232,2,Million surface central improve enough population suddenly military.,2024-07-23 16:21:56
28,28,2164,3,unknown comments,2024-03-24 12:33:35
29,29,2694,2,unknown comments,2024-04-04 03:45:48
30,30,6426,1,unknown comments,2024-03-28 08:32:12
31,31,8700,5,Suddenly test keep line hotel leave question.,2024-06-07 00:15:00
32,32,1548,1,unknown comments,2024-03-25 08:02:34
33,33,2842,1,unknown comments,2024-05-18 16:42:52
34,34,3229,5,unknown comments,2024-09-07 23:07:31
35,35,4539,5,Check concern break around participant.,2024-08-30 20:21:17
36,36,1651,3,Former car social bar than run.,2024-05-28 06:45:42
37,37,9990,4,Church she teach station look store listen.,2024-05-14 20:51:26
38,38,1334,3,Shoulder economy fine daughter opportunity.,2024-06-09 03:25:10
39,39,6573,1,unknown comments,2024-02-02 05:13:00
40,40,8335,1,unknown comments,2024-04-10 10:10:11
41,41,1721,5,unknown comments,2024-01-25 18:30:57
42,42,6071,4,unknown comments,2024-08-20 22:42:41
43,43,7851,1,Skill quite image large.,2024-03-21 09:29:07
44,44,2810,4,unknown comments,2024-04-08 22:16:18
45,45,5647,4,unknown comments,2024-09-29 00:36:36
46,46,1526,3,Wear class so program surface social.,2024-08-06 11:25:21
47,47,2263,5,unknown comments,2024-06-09 01:54:33
48,48,8495,4,Popular certainly six husband quality particularly.,2024-06-04 17:00:42
49,49,8548,4,unknown comments,2024-02-07 22:37:19
50,50,9531,1,unknown comments,2024-06-04 14:08:03
51,51,2609,2,Sit Democrat guess.,2024-02-07 02:35:04
52,52,8275,5,Evening guy create conference suffer prevent catch.,2024-09-03 23:49:33
53,53,1314,3,Bring face industry Democrat what.,2024-08-26 19:46:55
54,54,1077,5,unknown comments,2024-10-03 14:02:22
55,55,1777,5,unknown comments,2024-05-30 02:47:37
56,56,8225,3,Reach anyone hospital color certainly general carry size.,2024-02-19 11:58:08
57,57,8551,5,unknown comments,2024-03-19 18:55:47
