ride_id,user_id,driver_id,vehicle_id,start_location,end_location,start_date,start_hour,end_date,end_hour,distance_km,fare_amount
1,4067,145,8,Oujda (OUD),Berkane,2024-04-30,10,2024-04-30,11,57.86,209.51
2,9160,244,293,Casablanca (CMN),Bouskoura,2024-09-11,12,2024-09-11,12,23.12,87.92
3,1990,234,255,Fes (FEZ),Batha,2024-04-30,10,2024-04-30,10,16.75,65.62
4,1268,145,8,Casablanca (CMN),Bouskoura,2024-04-12,4,2024-04-12,4,16.03,63.1
5,7296,39,274,Rabat-Salé (RBA),Hay Riad,2024-04-26,16,2024-04-26,17,15.59,61.56
6,8671,235,233,Casablanca (CMN),Anfa,2024-02-21,3,2024-02-21,4,29.94,111.79
7,8360,228,91,Marrakech (RAK),Medina,2024-03-02,1,2024-03-02,1,6.65,30.28
8,5758,125,79,Agadir (AGA),Inezgane,2024-02-14,18,2024-02-14,19,16.08,63.28
9,8575,146,44,Agadir (AGA),Taghazout,2024-08-11,3,2024-08-11,4,37.96,139.86
10,7106,159,179,Oujda (OUD),Berkane,2024-07-16,21,2024-07-17,0,61.01,220.54
11,6534,280,97,Agadir (AGA),Taghazout,2024-03-11,12,2024-03-11,13,37.03,136.61
12,6072,153,227,Rabat-Salé (RBA),Temara,2024-02-08,12,2024-02-08,13,27.99,104.96
13,7389,300,282,Fes (FEZ),Saiss district,2024-09-12,5,2024-09-12,5,3.42,18.97
14,9802,233,290,Agadir (AGA),Taghazout,2024-08-11,12,2024-08-11,13,43.81,160.34
15,6802,34,167,Casablanca (CMN),Maarif,2024-04-26,11,2024-04-26,12,23.42,88.97
16,1084,287,216,Agadir (AGA),Ait Melloul,2024-02-27,7,2024-02-27,7,12.66,51.31
17,7802,132,221,Laayoune (EUN),Al Wahda,2024-09-26,6,2024-09-26,6,10.54,43.89
18,8436,265,274,Tangier (TNG),Gzenaya,2024-06-19,0,2024-06-19,0,8.35,36.22
19,1451,211,111,Rabat-Salé (RBA),Agdal,2024-03-02,8,2024-03-02,8,14.93,59.26
20,764,166,90,Oujda (OUD),Al Qods,2024-09-24,23,2024-09-24,23,10.32,43.12
21,1928,110,261,Tangier (TNG),Cap Spartel,2024-06-07,22,2024-06-07,22,17.29,67.52
22,6327,33,275,Marrakech (RAK),Targa,2024-01-28,22,2024-01-28,23,11.36,46.76
23,8281,247,138,Fes (FEZ),Batha,2024-02-16,23,2024-02-16,23,18.13,70.46
24,6882,137,85,Rabat-Salé (RBA),Temara,2024-04-01,6,2024-04-01,7,26.55,99.92
25,2259,169,148,Agadir (AGA),Inezgane,2024-05-14,12,2024-05-14,12,17.57,68.5
26,3613,127,52,Agadir (AGA),Ait Melloul,2024-05-22,4,2024-05-22,4,12.67,51.34
27,3232,240,266,Agadir (AGA),Talborjt,2024-09-03,23,2024-09-04,0,24.4,92.4
28,2164,224,221,Casablanca (CMN),Anfa,2024-08-18,15,2024-08-18,16,30.19,112.66
29,2694,95,240,Marrakech (RAK),Palmeraie,2024-06-19,23,2024-06-20,0,12.77,51.7
30,6426,142,37,Casablanca (CMN),Maarif,2024-04-13,7,2024-04-13,7,23.48,89.18
31,8700,236,199,Tangier (TNG),Gzenaya,2024-05-02,5,2024-05-02,6,8.67,37.34
32,1548,14,169,Agadir (AGA),Ait Melloul,2024-06-23,1,2024-06-23,1,17.3,67.55
33,2842,27,286,Laayoune (EUN),Foum El Oued,2024-09-18,23,2024-09-19,0,22.88,87.08
34,3229,291,241,Rabat-Salé (RBA),Salé Center,2024-03-06,22,2024-03-06,22,9.69,40.92
35,4539,124,237,Agadir (AGA),Inezgane,2024-02-20,10,2024-02-20,11,15.71,61.98
36,1651,72,110,Marrakech (RAK),Medina,2024-08-12,11,2024-08-12,11,5.26,25.41
37,9990,109,29,Agadir (AGA),Talborjt,2024-08-28,11,2024-08-28,12,26.78,100.73
38,1334,56,224,Oujda (OUD),Al Qods,2024-05-16,6,2024-05-16,7,10.74,44.59
39,6573,58,210,Nador (NDR),Selouane,2024-09-13,20,2024-09-13,20,14.5,57.75
40,8335,54,159,Dakhla (VIL),Port Dakhla,2024-05-06,19,2024-05-06,19,5.03,24.6
41,1721,183,82,Fes (FEZ),Batha,2024-02-26,2,2024-02-26,2,17.31,67.58
42,6071,229,217,Oujda (OUD),Lazaret,2024-05-04,10,2024-05-04,11,13.28,53.48
43,7851,192,157,Casablanca (CMN),Mohammedia,2024-05-24,22,2024-05-24,23,25.38,95.83
44,2810,223,177,Tangier (TNG),Gzenaya,2024-02-02,11,2024-02-02,11,7.88,34.58
45,5647,8,16,Oujda (OUD),Lazaret,2024-03-09,0,2024-03-09,1,13.72,55.02
46,1526,148,72,Rabat-Salé (RBA),Hay Riad,2024-09-02,13,2024-09-02,14,17.7,68.95
47,2263,77,257,Tangier (TNG),Gzenaya,2024-08-09,21,2024-08-09,21,8.02,35.07
48,8495,14,169,Casablanca (CMN),Mohammedia,2024-06-22,16,2024-06-22,16,32.92,122.22
49,8548,165,194,Agadir (AGA),Inezgane,2024-02-02,20,2024-02-02,21,21.73,83.06
50,9531,69,262,Agadir (AGA),Inezgane,2024-03-10,8,2024-03-10,9,21.96,83.86
51,2609,249,99,Tangier (TNG),Malabata,2024-07-20,2,2024-07-20,2,15.43,61.0
52,8275,50,81,Casablanca (CMN),Anfa,2024-08-17,19,2024-08-17,21,35.93,132.76
53,1314,261,42,Dakhla (VIL),Port Dakhla,2024-06-20,4,2024-06-20,4,6.75,30.62
54,1077,85,70,Fes (FEZ),Batha,2024-04-09,2,2024-04-09,3,19.82,76.37
55,1777,34,167,Laayoune (EUN),Foum El Oued,2024-01-28,17,2024-01-28,17,20.15,77.52
56,8225,123,39,Oujda (OUD),Al Qods,2024-05-28,0,2024-05-28,1,12.12,49.42
57,8551,257,148,Oujda (OUD),Berkane,2024-06-16,6,2024-06-16,7,64.34,232.19
58,4810,22,48,Nador (NDR),Beni Ensar,2024-02-21,5,2024-02-21,6,28.47,106.64
59,6138,19,176,Fes (FEZ),Batha,2024-06-08,11,2024-06-08,12,16.74,65.59
60,7298,231,190,Agadir (AGA),Talborjt,2024-01-23,6,2024-01-23,7,22.79,86.76
61,5197,41,228,Rabat-Salé (RBA),Temara,2024-06-22,23,2024-06-23,0,21.45,82.08
62,7243,248,20,Nador (NDR),Beni Ensar,2024-02-28,7,2024-02-28,8,29.91,111.68
63,3119,242,248,Tangier (TNG),Malabata,2024-09-26,15,2024-09-26,15,15.51,61.28
64,1983,286,26,Fes (FEZ),Saiss district,2024-08-14,1,2024-08-14,1,4.78,23.73
65,9872,223,177,Oujda (OUD),Berkane,2024-02-14,9,2024-02-14,11,61.8,223.3
66,6507,188,100,Fes (FEZ),Ville Nouvelle,2024-10-01,3,2024-10-01,3,13.23,53.3
67,829,254,235,Nador (NDR),Selouane,2024-07-12,19,2024-07-12,19,11.44,47.04
68,7046,212,168,Marrakech (RAK),Palmeraie,2024-01-26,18,2024-01-26,19,17.94,69.79
69,6212,24,37,Rabat-Salé (RBA),Temara,2024-05-18,14,2024-05-18,15,28.12,105.42
70,6502,180,300,Laayoune (EUN),Foum El Oued,2024-06-11,17,2024-06-11,18,20.1,77.35
71,9149,141,203,Rabat-Salé (RBA),Temara,2024-08-16,13,2024-08-16,13,24.24,91.84
72,6504,206,101,Agadir (AGA),Taghazout,2024-09-17,9,2024-09-17,10,35.66,131.81
73,5425,1,284,Casablanca (CMN),Maarif,2024-09-20,7,2024-09-20,7,29.45,110.08
74,921,19,176,Rabat-Salé (RBA),Agdal,2024-04-05,9,2024-04-05,9,17.56,68.46
75,3024,165,194,Agadir (AGA),Ait Melloul,2024-01-16,21,2024-01-16,21,15.38,60.83
76,1998,202,80,Rabat-Salé (RBA),Agdal,2024-02-06,23,2024-02-07,0,17.12,66.92
77,7663,201,100,Nador (NDR),Selouane,2024-04-03,12,2024-04-03,12,14.76,58.66
78,3711,127,52,Agadir (AGA),Inezgane,2024-01-07,9,2024-01-07,10,15.53,61.36
79,6717,247,138,Marrakech (RAK),Gueliz,2024-05-20,20,2024-05-20,20,7.9,34.65
80,555,13,23,Nador (NDR),Selouane,2024-02-06,23,2024-02-06,23,14.75,58.62
81,3967,107,247,Casablanca (CMN),Maarif,2024-04-13,18,2024-04-13,19,27.94,104.79
82,3921,184,274,Fes (FEZ),Batha,2024-02-02,14,2024-02-02,14,17.6,68.6
83,6504,253,153,Tangier (TNG),Malabata,2024-04-30,18,2024-04-30,18,17.49,68.22
84,6006,278,152,Laayoune (EUN),Foum El Oued,2024-07-15,11,2024-07-15,12,24.04,91.14
85,152,14,169,Casablanca (CMN),Bouskoura,2024-09-21,11,2024-09-21,12,23.04,87.64
86,530,187,265,Casablanca (CMN),Maarif,2024-03-08,8,2024-03-08,8,26.96,101.36
87,4940,298,22,Nador (NDR),Beni Ensar,2024-04-10,8,2024-04-10,9,28.63,107.2
88,7223,193,227,Dakhla (VIL),Port Dakhla,2024-03-22,6,2024-03-22,6,8.53,36.85
