vehicle_id,make,model,year,capacity
1,Kia,Picanto,2018,4
2,Hyundai,Accent,2013,5
3,Ford,Fiesta,2011,5
4,Renault,Clio,2018,5
5,Hyundai,i10,2016,5
6,Ford,Fiesta,2020,5
7,Fiat,Tipo,2019,5
8,Peugeot,301,2018,5
9,Peugeot,301,2014,5
10,Peugeot,301,2022,5
11,Peugeot,208,2010,5
12,Hyundai,i10,2014,5
13,Toyota,Corolla,2010,5
14,Citroen,Berlingo,2018,5
15,Hyundai,Accent,2019,5
16,Dacia,Logan,2017,5
17,Volkswagen,Golf,2013,5
18,Ford,Fiesta,2024,5
19,Mercedes-Benz,240D,2010,6
20,Volkswagen,Golf,2023,5
21,Ford,Fiesta,2023,5
22,Volkswagen,Golf,2010,5
23,Citroen,C3,2022,5
24,Fiat,Tipo,2012,5
25,Peugeot,Partner,2019,5
26,Peugeot,Partner,2019,5
27,Renault,Clio,2011,5
28,Peugeot,301,2011,5
29,Ford,Fiesta,2011,5
30,Dacia,Logan,2022,5
31,Fiat,Tipo,2018,5
32,Dacia,Lodgy,2017,7
33,Fiat,Doblo,2021,5
34,Dacia,Sandero,2019,5
35,Volkswagen,Golf,2012,5
36,Dacia,Sandero,2021,5
37,Mercedes-Benz,240D,2012,6
38,Dacia,Lodgy,2023,7
39,Dacia,Lodgy,2010,7
40,Mercedes-Benz,240D,2015,6
41,Citroen,C3,2023,5
42,Toyota,Corolla,2011,5
43,Dacia,Lodgy,2021,7
44,Renault,Kangoo,2019,5
45,Citroen,C3,2014,5
46,Fiat,Tipo,2021,5
47,Peugeot,208,2019,5
48,Volkswagen,Caddy,2021,5
49,Peugeot,Partner,2010,5
50,Citroen,Berlingo,2023,5
51,Peugeot,301,2021,5
52,Hyundai,Accent,2022,5
53,Toyota,Corolla,2010,5
54,Citroen,Berlingo,2018,5
55,Mercedes-Benz,E-Class,2021,5
56,Kia,Picanto,2010,4
57,Mercedes-Benz,240D,2021,6
58,Mercedes-Benz,E-Class,2018,5
59,Hyundai,Accent,2022,5
60,Kia,Picanto,2013,4
61,Toyota,Corolla,2024,5
62,Toyota,Corolla,2019,5
63,Peugeot,301,2018,5
64,Fiat,Tipo,2021,5
65,Citroen,C3,2023,5
66,Citroen,Berlingo,2016,5
67,Citroen,Berlingo,2010,5
68,Dacia,Logan,2019,5
69,Peugeot,208,2014,5
70,Hyundai,Accent,2013,5
71,Peugeot,Partner,2018,5
72,Citroen,Berlingo,2011,5
73,Volkswagen,Caddy,2018,5
74,Dacia,Lodgy,2013,7
75,Volkswagen,Golf,2010,5
76,Toyota,Corolla,2021,5
77,Hyundai,i10,2017,5
78,Mercedes-Benz,240D,2010,6
79,Peugeot,208,2018,5
80,Hyundai,i10,2014,5
